# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FXX      = Hoogste windstoot (in 0.1 m/s); 
# 
  STN,YYYYMMDD,FXX
  240,20180101,  200
  240,20180102,  140
  240,20180103,  260
  240,20180104,  220
  240,20180105,  150
  240,20180106,  110
  240,20180107,  150
  240,20180108,  130
  240,20180109,  100
  240,20180110,   70
  240,20180111,   90
  240,20180112,  100
  240,20180113,  100
  240,20180114,   90
  240,20180115,  190
  240,20180116,  200
  240,20180117,  210
  240,20180118,  340
  240,20180119,  130
  240,20180120,   90
  240,20180121,  120
  240,20180122,  110
  240,20180123,  140
  240,20180124,  210
  240,20180125,  120
  240,20180126,   60
  240,20180127,  160
  240,20180128,  170
  240,20180129,  220
  240,20180130,   90
  240,20180131,  210
  240,20180201,  140
  240,20180202,  170
  240,20180203,  110
  240,20180204,  150
  240,20180205,  110
  240,20180206,  100
  240,20180207,   40
  240,20180208,   90
  240,20180209,  130
  240,20180210,  140
  240,20180211,  180
  240,20180212,  120
  240,20180213,  140
  240,20180214,  160
  240,20180215,  140
  240,20180216,  100
  240,20180217,   50
  240,20180218,   70
  240,20180219,   60
  240,20180220,   60
  240,20180221,   80
  240,20180222,  110
  240,20180223,  130
  240,20180224,  150
  240,20180225,  130
  240,20180226,  120
  240,20180227,   90
  240,20180228,  160
  240,20180301,  190
  240,20180302,  180
  240,20180303,  100
  240,20180304,  120
  240,20180305,  130
  240,20180306,   70
  240,20180307,   80
  240,20180308,  210
  240,20180309,  100
  240,20180310,  100
  240,20180311,  100
  240,20180312,  100
  240,20180313,  110
  240,20180314,  110
  240,20180315,  140
  240,20180316,  160
  240,20180317,  190
  240,20180318,  180
  240,20180319,  150
  240,20180320,  140
  240,20180321,  100
  240,20180322,  120
  240,20180323,  130
  240,20180324,   60
  240,20180325,   80
  240,20180326,   90
  240,20180327,  100
  240,20180328,  110
  240,20180329,  100
  240,20180330,  130
  240,20180331,   60
  240,20180401,   80
  240,20180402,  120
  240,20180403,  120
  240,20180404,  140
  240,20180405,  180
  240,20180406,  140
  240,20180407,  120
  240,20180408,  100
  240,20180409,  100
  240,20180410,  100
  240,20180411,  120
  240,20180412,  130
  240,20180413,   90
  240,20180414,   80
  240,20180415,   90
  240,20180416,  120
  240,20180417,  120
  240,20180418,  100
  240,20180419,   90
  240,20180420,   80
  240,20180421,   80
  240,20180422,  130
  240,20180423,  120
  240,20180424,  150
  240,20180425,  190
  240,20180426,  140
  240,20180427,   90
  240,20180428,  110
  240,20180429,  180
  240,20180430,  170
  240,20180501,  240
  240,20180502,  150
  240,20180503,   80
  240,20180504,   80
  240,20180505,   90
  240,20180506,   70
  240,20180507,   70
  240,20180508,   80
  240,20180509,   80
  240,20180510,  140
  240,20180511,   70
  240,20180512,   90
  240,20180513,   90
  240,20180514,  100
  240,20180515,   90
  240,20180516,  160
  240,20180517,  120
  240,20180518,  100
  240,20180519,   70
  240,20180520,   80
  240,20180521,  110
  240,20180522,  110
  240,20180523,  110
  240,20180524,  100
  240,20180525,   80
  240,20180526,  110
  240,20180527,  100
  240,20180528,   80
  240,20180529,  100
  240,20180530,   70
  240,20180531,  120
  240,20180601,   80
  240,20180602,   90
  240,20180603,   80
  240,20180604,   90
  240,20180605,   90
  240,20180606,   80
  240,20180607,   90
  240,20180608,   90
  240,20180609,  110
  240,20180610,  100
  240,20180611,  100
  240,20180612,  100
  240,20180613,  110
  240,20180614,  150
  240,20180615,   70
  240,20180616,  120
  240,20180617,  120
  240,20180618,  140
  240,20180619,  100
  240,20180620,  130
  240,20180621,  170
  240,20180622,  170
  240,20180623,   80
  240,20180624,  110
  240,20180625,   90
  240,20180626,   90
  240,20180627,   90
  240,20180628,  110
  240,20180629,  100
  240,20180630,  110
  240,20180701,  150
  240,20180702,  120
  240,20180703,   90
  240,20180704,   70
  240,20180705,  100
  240,20180706,   60
  240,20180707,   90
  240,20180708,  110
  240,20180709,  110
  240,20180710,  130
  240,20180711,  110
  240,20180712,  100
  240,20180713,   70
  240,20180714,   80
  240,20180715,   90
  240,20180716,   80
  240,20180717,  130
  240,20180718,   80
  240,20180719,  110
  240,20180720,  110
  240,20180721,  120
  240,20180722,  110
  240,20180723,   70
  240,20180724,   90
  240,20180725,   80
  240,20180726,   90
  240,20180727,  150
  240,20180728,  180
  240,20180729,  140
  240,20180730,  130
  240,20180731,  160
  240,20180801,   80
  240,20180802,   80
  240,20180803,   90
  240,20180804,  110
  240,20180805,   80
  240,20180806,   80
  240,20180807,  150
  240,20180808,  150
  240,20180809,  230
  240,20180810,  180
  240,20180811,  120
  240,20180812,  120
  240,20180813,  100
  240,20180814,  120
  240,20180815,  110
  240,20180816,  120
  240,20180817,   90
  240,20180818,  110
  240,20180819,  130
  240,20180820,   90
  240,20180821,   60
  240,20180822,  100
  240,20180823,  140
  240,20180824,  140
  240,20180825,  140
  240,20180826,  180
  240,20180827,  140
  240,20180828,   70
  240,20180829,  100
  240,20180830,  100
  240,20180831,   60
  240,20180901,   70
  240,20180902,   80
  240,20180903,   80
  240,20180904,   70
  240,20180905,  130
  240,20180906,  130
  240,20180907,  140
  240,20180908,  120
  240,20180909,  110
  240,20180910,  120
  240,20180911,  160
  240,20180912,  120
  240,20180913,   80
  240,20180914,  130
  240,20180915,  100
  240,20180916,  110
  240,20180917,   80
  240,20180918,  170
  240,20180919,  160
  240,20180920,  130
  240,20180921,  250
  240,20180922,  130
  240,20180923,  110
  240,20180924,  150
  240,20180925,   60
  240,20180926,  120
  240,20180927,   90
